campaign,deployment,platform_name,latitude,longitude
AASE,AASE-D1_1988-Dec,Balloon Launch Site,65.60,-37.63
AASE,AASE-D1_1988-Dec,Balloon Launch Site,60.13,-1.18
AASE,AASE-D1_1988-Dec,Balloon Launch Site,70.48,-21.97
AASE,AASE-D1_1988-Dec,Balloon Launch Site,58.88,5.64
AASE,AASE-D2_1991-Sep,Balloon Launch Site,82.50,-62.33
AASE,AASE-D2_1991-Sep,Balloon Launch Site,58.75,-94.07
AASE,AASE-D2_1991-Sep,Balloon Launch Site,53.32,-60.38
AASE,AASE-D2_1991-Sep,Balloon Launch Site,63.75,-68.55
AASE,AASE-D2_1991-Sep,Balloon Launch Site,74.72,-94.98
AASE,AASE-D2_1991-Sep,Balloon Launch Site,61.18,-45.42
AASE,AASE-D2_1991-Sep,Balloon Launch Site,53.55,-114.10
