campaign,deployment,platform_name,latitude,longitude
ABLE,ABLE-D1_1984,Field Site,13.16,-59.43
ABLE,ABLE-D2_1985,Field Site,-2.93,-59.97
ABLE,ABLE-D2_1985,Balloon Launch Site,-2.93,-59.97
ABLE,ABLE-D3_1987,Field Site,-2.93,-59.97
ABLE,ABLE-D3_1987,Field Site,-2.57,-60.02
ABLE,ABLE-D3_1987,Field Site,-2.63,-59.66
ABLE,ABLE-D3_1987,Field Site,-2.68,-59.88
ABLE,ABLE-D3_1987,Balloon Launch Site,-2.93,-59.97
ABLE,ABLE-D3_1987,Balloon Launch Site,-2.57,-60.02
ABLE,ABLE-D3_1987,Balloon Launch Site,-2.63,-59.66
ABLE,ABLE-D4_1988,Field Site,61,-162.5
ABLE,ABLE-D5_1990,Field Site,55,-67
