campaign,deployment,platform_name,latitude,longitude
ACCENT,ACCENT-D1_1999-Mar,Balloon Launch Site,29.61,-95.17
ACCENT,ACCENT-D1_1999-Mar,Balloon Launch Site,30.48,-86.53
ACCENT,ACCENT-D1_1999-Mar,Balloon Launch Site,33.17,-86.77
ACCENT,ACCENT-D1_1999-Mar,Balloon Launch Site,33.36,-84.56
ACCENT,ACCENT-D1_1999-Mar,Balloon Launch Site,24.55,-81.75
ACCENT,ACCENT-D1_1999-Mar,Balloon Launch Site,30.4,-84.35
ACCENT,ACCENT-D2_1999-Sep,Balloon Launch Site,29.61,-95.17
ACCENT,ACCENT-D2_1999-Sep,Balloon Launch Site,30.4,-84.35
ACCENT,ACCENT-D2_1999-Sep,Balloon Launch Site,24.55,-81.75
ACCENT,ACCENT-D2_1999-Sep,Balloon Launch Site,30.48,-86.53
ACCENT,ACCENT-D2_1999-Sep,Balloon Launch Site,33.17,-86.77
ACCENT,ACCENT-D2_1999-Sep,Field Site,29.61,-95.17
