campaign,deployment,platform_name,latitude,longitude
ACT-America,ACT-America-D1_2016,Permanent Land Site,33.18,-85.89
ACT-America,ACT-America-D1_2016,Permanent Land Site,30.20,-85.83
ACT-America,ACT-America-D1_2016,Permanent Land Site,32.47,-92.28
ACT-America,ACT-America-D1_2016,Permanent Land Site,31.89,-89.73
ACT-America,ACT-America-D1_2016,Permanent Land Site,33.75,-89.85
ACT-America,ACT-America-D1_2016,Permanent Land Site,36.71,-79.44
ACT-America,ACT-America-D1_2016,Permanent Land Site,44.05,-98.59
ACT-America,ACT-America-D1_2016,Permanent Land Site,41.47,-76.42
ACT-America,ACT-America-D1_2016,Permanent Land Site,39.58,-86.42
ACT-America,ACT-America-D1_2016,Permanent Land Site,39.86,-85.74
ACT-America,ACT-America-D1_2016,Permanent Land Site,40.00,-86.74
ACT-America,ACT-America-D2_2017-Jan,Permanent Land Site,33.18,-85.89
ACT-America,ACT-America-D2_2017-Jan,Permanent Land Site,30.20,-85.83
ACT-America,ACT-America-D2_2017-Jan,Permanent Land Site,32.47,-92.28
ACT-America,ACT-America-D2_2017-Jan,Permanent Land Site,31.89,-89.73
ACT-America,ACT-America-D2_2017-Jan,Permanent Land Site,33.75,-89.85
ACT-America,ACT-America-D2_2017-Jan,Permanent Land Site,36.71,-79.44
ACT-America,ACT-America-D2_2017-Jan,Permanent Land Site,44.05,-98.59
ACT-America,ACT-America-D2_2017-Jan,Permanent Land Site,41.47,-76.42
ACT-America,ACT-America-D2_2017-Jan,Permanent Land Site,39.58,-86.42
ACT-America,ACT-America-D2_2017-Jan,Permanent Land Site,39.86,-85.74
ACT-America,ACT-America-D2_2017-Jan,Permanent Land Site,40.00,-86.74
ACT-America,ACT-America-D3_2017-Oct,Permanent Land Site,33.18,-85.89
ACT-America,ACT-America-D3_2017-Oct,Permanent Land Site,30.20,-85.83
ACT-America,ACT-America-D3_2017-Oct,Permanent Land Site,32.47,-92.28
ACT-America,ACT-America-D3_2017-Oct,Permanent Land Site,31.89,-89.73
ACT-America,ACT-America-D3_2017-Oct,Permanent Land Site,33.75,-89.85
ACT-America,ACT-America-D3_2017-Oct,Permanent Land Site,36.71,-79.44
ACT-America,ACT-America-D3_2017-Oct,Permanent Land Site,44.05,-98.59
ACT-America,ACT-America-D3_2017-Oct,Permanent Land Site,41.47,-76.42
ACT-America,ACT-America-D3_2017-Oct,Permanent Land Site,39.58,-86.42
ACT-America,ACT-America-D3_2017-Oct,Permanent Land Site,39.86,-85.74
ACT-America,ACT-America-D3_2017-Oct,Permanent Land Site,40.00,-86.74
ACT-America,ACT-America-D4_2018,Permanent Land Site,33.18,-85.89
ACT-America,ACT-America-D4_2018,Permanent Land Site,30.20,-85.83
ACT-America,ACT-America-D4_2018,Permanent Land Site,32.47,-92.28
ACT-America,ACT-America-D4_2018,Permanent Land Site,31.89,-89.73
ACT-America,ACT-America-D4_2018,Permanent Land Site,33.75,-89.85
ACT-America,ACT-America-D4_2018,Permanent Land Site,36.71,-79.44
ACT-America,ACT-America-D4_2018,Permanent Land Site,44.05,-98.59
ACT-America,ACT-America-D4_2018,Permanent Land Site,41.47,-76.42
ACT-America,ACT-America-D4_2018,Permanent Land Site,39.58,-86.42
ACT-America,ACT-America-D4_2018,Permanent Land Site,39.86,-85.74
ACT-America,ACT-America-D4_2018,Permanent Land Site,40.00,-86.74
ACT-America,ACT-America-D5_2019,Permanent Land Site,33.18,-85.89
ACT-America,ACT-America-D5_2019,Permanent Land Site,30.20,-85.83
ACT-America,ACT-America-D5_2019,Permanent Land Site,32.47,-92.28
ACT-America,ACT-America-D5_2019,Permanent Land Site,31.89,-89.73
ACT-America,ACT-America-D5_2019,Permanent Land Site,33.75,-89.85
ACT-America,ACT-America-D5_2019,Permanent Land Site,36.71,-79.44
ACT-America,ACT-America-D5_2019,Permanent Land Site,44.05,-98.59
ACT-America,ACT-America-D5_2019,Permanent Land Site,41.47,-76.42
ACT-America,ACT-America-D5_2019,Permanent Land Site,39.58,-86.42
ACT-America,ACT-America-D5_2019,Permanent Land Site,39.86,-85.74
ACT-America,ACT-America-D5_2019,Permanent Land Site,40.00,-86.74
