campaign,deployment,platform_name,latitude,longitude
ARCTAS,ARCTAS-D1_2008-Apr,Field Site,71.3,-156.74
ARCTAS,ARCTAS-D1_2008-Apr,Balloon Launch Site,72.57,-38.48
ARCTAS,ARCTAS-D1_2008-Apr,Balloon Launch Site,40.8,-124.16
ARCTAS,ARCTAS-D1_2008-Apr,Balloon Launch Site,50.2,-104.7
ARCTAS,ARCTAS-D1_2008-Apr,Balloon Launch Site,58.74,-94.07
ARCTAS,ARCTAS-D1_2008-Apr,Balloon Launch Site,79.99,-85.94
ARCTAS,ARCTAS-D1_2008-Apr,Balloon Launch Site,49.92,-119.4
ARCTAS,ARCTAS-D1_2008-Apr,Balloon Launch Site,74.71,-94.97
ARCTAS,ARCTAS-D1_2008-Apr,Balloon Launch Site,44.95,-59.92
ARCTAS,ARCTAS-D1_2008-Apr,Balloon Launch Site,53.55,-114.11
ARCTAS,ARCTAS-D1_2008-Apr,Balloon Launch Site,60.7,-135.07
ARCTAS,ARCTAS-D1_2008-Apr,Balloon Launch Site,41.4,-71.5
ARCTAS,ARCTAS-D1_2008-Apr,Balloon Launch Site,71.32,-156.6
ARCTAS,ARCTAS-D2_2008-Jun,Field Site,71.3,-156.74
ARCTAS,ARCTAS-D2_2008-Jun,Balloon Launch Site,41.4,-71.5
ARCTAS,ARCTAS-D2_2008-Jun,Balloon Launch Site,39.95,-105.25
ARCTAS,ARCTAS-D2_2008-Jun,Balloon Launch Site,72.57,-38.48
ARCTAS,ARCTAS-D2_2008-Jun,Balloon Launch Site,40.8,-124.16
ARCTAS,ARCTAS-D2_2008-Jun,Balloon Launch Site,50.2,-104.7
ARCTAS,ARCTAS-D2_2008-Jun,Balloon Launch Site,58.74,-94.07
ARCTAS,ARCTAS-D2_2008-Jun,Balloon Launch Site,44.23,-79.78
ARCTAS,ARCTAS-D2_2008-Jun,Balloon Launch Site,79.99,-85.94
ARCTAS,ARCTAS-D2_2008-Jun,Balloon Launch Site,53.32,-60.3
ARCTAS,ARCTAS-D2_2008-Jun,Balloon Launch Site,49.92,-119.4
ARCTAS,ARCTAS-D2_2008-Jun,Balloon Launch Site,74.71,-94.97
ARCTAS,ARCTAS-D2_2008-Jun,Balloon Launch Site,44.95,-59.92
ARCTAS,ARCTAS-D2_2008-Jun,Balloon Launch Site,53.55,-114.11
ARCTAS,ARCTAS-D2_2008-Jun,Balloon Launch Site,60.7,-135.07
ARCTAS,ARCTAS-D2_2008-Jun,Balloon Launch Site,43.87,-66.1
ARCTAS,ARCTAS-D2_2008-Jun,Balloon Launch Site,62.5,-114.48
