campaign,deployment,platform_name,latitude,longitude
ASTEX,ASTEX-D1_1992,Field Site,33.08,-16.35
ASTEX,ASTEX-D1_1992,Field Site,36.99,-25.17
ASTEX,ASTEX-D1_1992,Balloon Launch Site,33.08,-16.35
ASTEX,ASTEX-D1_1992,Balloon Launch Site,36.99,-25.17
ASTEX,ASTEX-D1_1992,Balloon Launch Site,32.66,-16.92
ASTEX,ASTEX-D1_1992,Drifting Buoy,35.98,-23.99
ASTEX,ASTEX-D1_1992,Drifting Buoy,34.97,-23.93
ASTEX,ASTEX-D1_1992,Drifting Buoy,35.29,-23.98
ASTEX,ASTEX-D1_1992,Drifting Buoy,34.63,-23.98
ASTEX,ASTEX-D1_1992,Drifting Buoy,35.66,-24.01
