campaign,deployment,platform_name,latitude,longitude
ATom,ATom-D1_2016,Balloon Launch Site,72.58,-38.46
ATom,ATom-D1_2016,Balloon Launch Site,19.72,-155.05
ATom,ATom-D1_2016,Balloon Launch Site,-14.33,-170.71
ATom,ATom-D2_2017-Jan,Balloon Launch Site,19.72,-155.05
ATom,ATom-D2_2017-Jan,Balloon Launch Site,-18.15,178.45
ATom,ATom-D2_2017-Jan,Balloon Launch Site,72.58,-38.46
ATom,ATom-D3_2017-Sep,Balloon Launch Site,39.95,-105.20
ATom,ATom-D3_2017-Sep,Balloon Launch Site,19.72,-155.05
ATom,ATom-D3_2017-Sep,Balloon Launch Site,-90.00,-149.20
ATom,ATom-D4_2018,Balloon Launch Site,19.72,-155.05
ATom,ATom-D4_2018,Balloon Launch Site,-18.15,178.45
ATom,ATom-D4_2018,Balloon Launch Site,-90.00,-149.20
