campaign,deployment,platform_name,latitude,longitude
AirMOSS,AirMOSS-D1_2012-Sep_Oregon_Arizona,Permanent Land Site,44.45,-121.55
AirMOSS,AirMOSS-D1_2012-Sep_Oregon_Arizona,Permanent Land Site,31.74,-109.94
AirMOSS,AirMOSS-D2_2012-Oct_Canada_Oregon	,Permanent Land Site,53.63,-106.2
AirMOSS,AirMOSS-D2_2012-Oct_Canada_Oregon	,Permanent Land Site,53.92,-104.7
AirMOSS,AirMOSS-D2_2012-Oct_Canada_Oregon	,Permanent Land Site,44.45,-121.55
AirMOSS,AirMOSS-D3_2012-Oct_NorthCarolina_Maine_Massachusetts,Permanent Land Site,35.97,-79.1
AirMOSS,AirMOSS-D3_2012-Oct_NorthCarolina_Maine_Massachusetts,Permanent Land Site,42.54,-72.17
AirMOSS,AirMOSS-D3_2012-Oct_NorthCarolina_Maine_Massachusetts,Permanent Land Site,45.2,-68.74
AirMOSS,AirMOSS-D4_2012-Oct_Arizona_Oklahoma,Permanent Land Site,31.74,-109.94
AirMOSS,AirMOSS-D4_2012-Oct_Arizona_Oklahoma,Permanent Land Site,36.06,-97.21
AirMOSS,AirMOSS-D5_2013-Feb_California_Arizona,Permanent Land Site,31.74,-109.94
AirMOSS,AirMOSS-D5_2013-Feb_California_Arizona,Permanent Land Site,38.43,-120.97
AirMOSS,AirMOSS-D6_2013-Feb_CostaRica,Permanent Land Site,10.42,-84.02
AirMOSS,AirMOSS-D7_2013-Apr_CostaRica,Permanent Land Site,10.42,-84.02
AirMOSS,AirMOSS-D8_2013-Apr_Canada_Oregon,Permanent Land Site,53.63,-106.2
AirMOSS,AirMOSS-D8_2013-Apr_Canada_Oregon,Permanent Land Site,53.92,-104.7
AirMOSS,AirMOSS-D8_2013-Apr_Canada_Oregon,Permanent Land Site,44.45,-121.55
AirMOSS,AirMOSS-D9_2013-May_NorthCarolina_Maine_Massachusetts,Permanent Land Site,35.97,-79.1
AirMOSS,AirMOSS-D9_2013-May_NorthCarolina_Maine_Massachusetts,Permanent Land Site,42.54,-72.17
AirMOSS,AirMOSS-D9_2013-May_NorthCarolina_Maine_Massachusetts,Permanent Land Site,45.2,-68.74
AirMOSS,AirMOSS-D10_2013-Jun_Mexico_Oklahoma,Permanent Land Site,19.51,-105.04
AirMOSS,AirMOSS-D10_2013-Jun_Mexico_Oklahoma,Permanent Land Site,36.06,-97.21
AirMOSS,AirMOSS-D11_2013-Jul_NorthCarolina_Maine_Massachusetts,Permanent Land Site,35.97,-79.1
AirMOSS,AirMOSS-D11_2013-Jul_NorthCarolina_Maine_Massachusetts,Permanent Land Site,42.54,-72.17
AirMOSS,AirMOSS-D11_2013-Jul_NorthCarolina_Maine_Massachusetts,Permanent Land Site,45.2,-68.74
AirMOSS,AirMOSS-D12_2013-Jul_Arizona_Oklahoma,Permanent Land Site,31.74,-109.94
AirMOSS,AirMOSS-D12_2013-Jul_Arizona_Oklahoma,Permanent Land Site,36.06,-97.21
AirMOSS,AirMOSS-D13_2013-Jul_Canada_Oregon,Permanent Land Site,31.74,-109.94
AirMOSS,AirMOSS-D13_2013-Jul_Canada_Oregon,Permanent Land Site,53.63,-106.2
AirMOSS,AirMOSS-D13_2013-Jul_Canada_Oregon,Permanent Land Site,53.92,-104.7
AirMOSS,AirMOSS-D14_2013-Aug_NorthCarolina_Maine_Massachusetts,Permanent Land Site,35.97,-79.1
AirMOSS,AirMOSS-D14_2013-Aug_NorthCarolina_Maine_Massachusetts,Permanent Land Site,42.54,-72.17
AirMOSS,AirMOSS-D14_2013-Aug_NorthCarolina_Maine_Massachusetts,Permanent Land Site,45.2,-68.74
AirMOSS,AirMOSS-D15_2013-Sep_Oklahoma,Permanent Land Site,36.06,-97.21
AirMOSS,AirMOSS-D16_2013-Oct_California,Permanent Land Site,38.43,-120.97
AirMOSS,AirMOSS-D17_2013-Nov_Arizona_Oklahoma_California,Permanent Land Site,31.74,-109.94
AirMOSS,AirMOSS-D17_2013-Nov_Arizona_Oklahoma_California,Permanent Land Site,36.06,-97.21
AirMOSS,AirMOSS-D17_2013-Nov_Arizona_Oklahoma_California,Permanent Land Site,38.43,-120.97
AirMOSS,AirMOSS-D18_2014-Feb_California,Permanent Land Site,38.43,-120.97
AirMOSS,AirMOSS-D19_2014-Mar_CostaRica,Permanent Land Site,10.42,-84.02
AirMOSS,AirMOSS-D20_2014-Apr_Mexico_Oklahoma,Permanent Land Site,19.51,-105.04
AirMOSS,AirMOSS-D20_2014-Apr_Mexico_Oklahoma,Permanent Land Site,36.06,-97.21
AirMOSS,AirMOSS-D21_2014-May_NorthCarolina_Maine_Massachusetts,Permanent Land Site,35.97,-79.1
AirMOSS,AirMOSS-D21_2014-May_NorthCarolina_Maine_Massachusetts,Permanent Land Site,42.54,-72.17
AirMOSS,AirMOSS-D21_2014-May_NorthCarolina_Maine_Massachusetts,Permanent Land Site,45.2,-68.74
AirMOSS,AirMOSS-D22_2014-Jun_Canada_Oregon,Permanent Land Site,31.74,-109.94
AirMOSS,AirMOSS-D22_2014-Jun_Canada_Oregon,Permanent Land Site,53.63,-106.2
AirMOSS,AirMOSS-D22_2014-Jun_Canada_Oregon,Permanent Land Site,53.92,-104.7
AirMOSS,AirMOSS-D23_2014-Jun_NorthCarolina_Maine_Massachusetts,Permanent Land Site,35.97,-79.1
AirMOSS,AirMOSS-D23_2014-Jun_NorthCarolina_Maine_Massachusetts,Permanent Land Site,42.54,-72.17
AirMOSS,AirMOSS-D23_2014-Jun_NorthCarolina_Maine_Massachusetts,Permanent Land Site,45.2,-68.74
