campaign,deployment,platform_name,latitude,longitude
BATAL,BATAL-D1_2014,Permanent Land Site,13.46,79.17
BATAL,BATAL-D1_2014,Permanent Land Site,22.32,39.1
BATAL,BATAL-D1_2014,Balloon Launch Site,13.46,79.17
BATAL,BATAL-D2_2015,Permanent Land Site,13.46,79.17
BATAL,BATAL-D2_2015,Permanent Land Site,22.32,39.1
BATAL,BATAL-D2_2015,Balloon Launch Site,13.46,79.17
BATAL,BATAL-D2_2015,Balloon Launch Site,17.47,78.58
BATAL,BATAL-D2_2015,Balloon Launch Site,25.27,82.99
BATAL,BATAL-D2_2015,Balloon Launch Site,22.32,39.1
BATAL,BATAL-D3_2016,Permanent Land Site,13.46,79.17
BATAL,BATAL-D3_2016,Permanent Land Site,22.32,39.1
BATAL,BATAL-D3_2016,Balloon Launch Site,13.46,79.17
BATAL,BATAL-D3_2016,Balloon Launch Site,25.27,82.99
BATAL,BATAL-D3_2016,Balloon Launch Site,22.32,39.1
BATAL,BATAL-D4_2017,Permanent Land Site,13.46,79.17
BATAL,BATAL-D4_2017,Permanent Land Site,22.32,39.1
BATAL,BATAL-D4_2017,Balloon Launch Site,13.46,79.17
BATAL,BATAL-D4_2017,Balloon Launch Site,17.47,78.58
