campaign,deployment,platform_name,latitude,longitude
CARVE,CARVE-D1_2012,Field Site,71.28,-156.6
CARVE,CARVE-D1_2012,Field Site,70.47,-157.41
CARVE,CARVE-D1_2012,Field Site,68.49,-155.75
CARVE,CARVE-D1_2012,Field Site,64.99,-147.6
CARVE,CARVE-D2_2013,Field Site,71.28,-156.6
CARVE,CARVE-D2_2013,Field Site,70.47,-157.41
CARVE,CARVE-D2_2013,Field Site,68.49,-155.75
CARVE,CARVE-D2_2013,Field Site,64.99,-147.6
CARVE,CARVE-D3_2014,Field Site,71.28,-156.6
CARVE,CARVE-D3_2014,Field Site,70.47,-157.41
CARVE,CARVE-D3_2014,Field Site,68.49,-155.75
CARVE,CARVE-D3_2014,Field Site,64.99,-147.6
CARVE,CARVE-D4_2015,Field Site,71.28,-156.6
CARVE,CARVE-D4_2015,Field Site,70.47,-157.41
CARVE,CARVE-D4_2015,Field Site,68.49,-155.75
CARVE,CARVE-D4_2015,Field Site,64.99,-147.6
