campaign ,deployment,platform_name,latitude,longitude
CalNex,CalNex-D1_2010,Field Site,34.14,-118.12
CalNex,CalNex-D1_2010,Field Site,35.35,-118.97
CalNex,CalNex-D1_2010,Field Site,34.22,-118.06
CalNex,CalNex-D1_2010,Balloon Launch Site,41.06,-124.16
CalNex,CalNex-D1_2010,Balloon Launch Site,38.09,-122.95
CalNex,CalNex-D1_2010,Balloon Launch Site,36.3,-121.89
CalNex,CalNex-D1_2010,Balloon Launch Site,33.26,-119.49
CalNex,CalNex-D1_2010,Balloon Launch Site,34.08,-116.39
CalNex,CalNex-D1_2010,Balloon Launch Site,40.6,-122.49
CalNex,CalNex-D1_2010,Balloon Launch Site,49.94,-119.4
