campaign,deployment,platform_name,latitude,longitude
DISCOVER-AQ,DISCOVER-AQ-D1_2011-Jun-WashingtonDC,Permanent Land Site,39.56,-76.20
DISCOVER-AQ,DISCOVER-AQ-D1_2011-Jun-WashingtonDC,Permanent Land Site,39.06,-76.88
DISCOVER-AQ,DISCOVER-AQ-D1_2011-Jun-WashingtonDC,Permanent Land Site,39.41,-76.30
DISCOVER-AQ,DISCOVER-AQ-D1_2011-Jun-WashingtonDC,Permanent Land Site,39.31,-76.47
DISCOVER-AQ,DISCOVER-AQ-D1_2011-Jun-WashingtonDC,Permanent Land Site,38.99,-76.84
DISCOVER-AQ,DISCOVER-AQ-D1_2011-Jun-WashingtonDC,Permanent Land Site,39.29,-76.60
DISCOVER-AQ,DISCOVER-AQ-D1_2011-Jun-WashingtonDC,Permanent Land Site,39.46,-76.63
DISCOVER-AQ,DISCOVER-AQ-D1_2011-Jun-WashingtonDC,Permanent Land Site,38.88,-76.55
DISCOVER-AQ,DISCOVER-AQ-D1_2011-Jun-WashingtonDC,Permanent Land Site,39.25,-76.71
DISCOVER-AQ,DISCOVER-AQ-D1_2011-Jun-WashingtonDC,Permanent Land Site,38.99,-76.94
DISCOVER-AQ,DISCOVER-AQ-D1_2011-Jun-WashingtonDC,Permanent Land Site,38.98,-76.48
DISCOVER-AQ,DISCOVER-AQ-D1_2011-Jun-WashingtonDC,Balloon Launch Site,39.05,-76.88
DISCOVER-AQ,DISCOVER-AQ-D1_2011-Jun-WashingtonDC,Balloon Launch Site,39.41,-76.30
DISCOVER-AQ,DISCOVER-AQ-D1_2011-Jun-WashingtonDC,Field Site,39.56,-76.20
DISCOVER-AQ,DISCOVER-AQ-D1_2011-Jun-WashingtonDC,Field Site,39.06,-76.88
DISCOVER-AQ,DISCOVER-AQ-D1_2011-Jun-WashingtonDC,Field Site,39.41,-76.30
DISCOVER-AQ,DISCOVER-AQ-D1_2011-Jun-WashingtonDC,Field Site,39.31,-76.47
DISCOVER-AQ,DISCOVER-AQ-D1_2011-Jun-WashingtonDC,Field Site,39.70,-75.87
DISCOVER-AQ,DISCOVER-AQ-D1_2011-Jun-WashingtonDC,Field Site,39.30,-76.60
DISCOVER-AQ,DISCOVER-AQ-D1_2011-Jun-WashingtonDC,Field Site,39.46,-76.63
DISCOVER-AQ,DISCOVER-AQ-D1_2011-Jun-WashingtonDC,Field Site,39.25,-76.71
DISCOVER-AQ,DISCOVER-AQ-D2_2013-Jan-California,Permanent Land Site,36.31,-119.39
DISCOVER-AQ,DISCOVER-AQ-D2_2013-Jan-California,Permanent Land Site,36.63,-120.38
DISCOVER-AQ,DISCOVER-AQ-D2_2013-Jan-California,Permanent Land Site,36.03,-119.06
DISCOVER-AQ,DISCOVER-AQ-D2_2013-Jan-California,Permanent Land Site,36.60,-119.50
DISCOVER-AQ,DISCOVER-AQ-D2_2013-Jan-California,Permanent Land Site,36.95,-120.03
DISCOVER-AQ,DISCOVER-AQ-D2_2013-Jan-California,Permanent Land Site,36.21,-120.11
DISCOVER-AQ,DISCOVER-AQ-D2_2013-Jan-California,Permanent Land Site,36.79,-119.77
DISCOVER-AQ,DISCOVER-AQ-D2_2013-Jan-California,Permanent Land Site,36.32,-119.64
DISCOVER-AQ,DISCOVER-AQ-D2_2013-Jan-California,Permanent Land Site,36.10,-119.57
DISCOVER-AQ,DISCOVER-AQ-D2_2013-Jan-California,Permanent Land Site,35.24,-118.79
DISCOVER-AQ,DISCOVER-AQ-D2_2013-Jan-California,Permanent Land Site,35.32,-118.99
DISCOVER-AQ,DISCOVER-AQ-D2_2013-Jan-California,Permanent Land Site,36.03,-119.06
DISCOVER-AQ,DISCOVER-AQ-D2_2013-Jan-California,Permanent Land Site,35.50,-119.27
DISCOVER-AQ,DISCOVER-AQ-D2_2013-Jan-California,Balloon Launch Site,36.03,-119.06
DISCOVER-AQ,DISCOVER-AQ-D2_2013-Jan-California,Field Site,35.33,-118.99
DISCOVER-AQ,DISCOVER-AQ-D2_2013-Jan-California,Field Site,36.79,-119.77
DISCOVER-AQ,DISCOVER-AQ-D2_2013-Jan-California,Field Site,36.21,-120.11
DISCOVER-AQ,DISCOVER-AQ-D2_2013-Jan-California,Field Site,35.44,-119.02
DISCOVER-AQ,DISCOVER-AQ-D2_2013-Jan-California,Field Site,36.03,-119.06
DISCOVER-AQ,DISCOVER-AQ-D3_2013-Sep-Texas,Permanent Land Site,29.83,-95.66
DISCOVER-AQ,DISCOVER-AQ-D3_2013-Sep-Texas,Permanent Land Site,29.72,-95.34
DISCOVER-AQ,DISCOVER-AQ-D3_2013-Sep-Texas,Permanent Land Site,29.80,-95.13
DISCOVER-AQ,DISCOVER-AQ-D3_2013-Sep-Texas,Permanent Land Site,29.58,-95.02
DISCOVER-AQ,DISCOVER-AQ-D3_2013-Sep-Texas,Permanent Land Site,29.55,-94.79
DISCOVER-AQ,DISCOVER-AQ-D3_2013-Sep-Texas,Permanent Land Site,30.04,-95.68
DISCOVER-AQ,DISCOVER-AQ-D3_2013-Sep-Texas,Permanent Land Site,30.35,-95.43
DISCOVER-AQ,DISCOVER-AQ-D3_2013-Sep-Texas,Permanent Land Site,29.67,-95.13
DISCOVER-AQ,DISCOVER-AQ-D3_2013-Sep-Texas,Permanent Land Site,29.52,-95.39
DISCOVER-AQ,DISCOVER-AQ-D3_2013-Sep-Texas,Permanent Land Site,29.25,-94.86
DISCOVER-AQ,DISCOVER-AQ-D3_2013-Sep-Texas,Permanent Land Site,29.67,-95.06
DISCOVER-AQ,DISCOVER-AQ-D3_2013-Sep-Texas,Permanent Land Site,30.04,-95.67
DISCOVER-AQ,DISCOVER-AQ-D3_2013-Sep-Texas,Balloon Launch Site,29.72,-95.34
DISCOVER-AQ,DISCOVER-AQ-D3_2013-Sep-Texas,Balloon Launch Site,29.55,-94.78
DISCOVER-AQ,DISCOVER-AQ-D3_2013-Sep-Texas,Field Site,29.25,-94.86
DISCOVER-AQ,DISCOVER-AQ-D3_2013-Sep-Texas,Field Site,29.67,-95.07
DISCOVER-AQ,DISCOVER-AQ-D3_2013-Sep-Texas,Field Site,29.52,-95.39
DISCOVER-AQ,DISCOVER-AQ-D3_2013-Sep-Texas,Field Site,29.54,-94.76
DISCOVER-AQ,DISCOVER-AQ-D3_2013-Sep-Texas,Field Site,29.72,-95.34
DISCOVER-AQ,DISCOVER-AQ-D3_2013-Sep-Texas,Field Site,29.82,-94.98
DISCOVER-AQ,DISCOVER-AQ-D4_2014-Jul-Colorado,Permanent Land Site,40.39,-104.73
DISCOVER-AQ,DISCOVER-AQ-D4_2014-Jul-Colorado,Permanent Land Site,40.12,-105.24
DISCOVER-AQ,DISCOVER-AQ-D4_2014-Jul-Colorado,Permanent Land Site,39.53,-105.07
DISCOVER-AQ,DISCOVER-AQ-D4_2014-Jul-Colorado,Permanent Land Site,39.73,-105.02
DISCOVER-AQ,DISCOVER-AQ-D4_2014-Jul-Colorado,Permanent Land Site,40.03,-105.53
DISCOVER-AQ,DISCOVER-AQ-D4_2014-Jul-Colorado,Permanent Land Site,40.18,-104.73
DISCOVER-AQ,DISCOVER-AQ-D4_2014-Jul-Colorado,Permanent Land Site,39.92,-105.19
DISCOVER-AQ,DISCOVER-AQ-D4_2014-Jul-Colorado,Permanent Land Site,39.99,-105.26
DISCOVER-AQ,DISCOVER-AQ-D4_2014-Jul-Colorado,Permanent Land Site,40.04,-105.00
DISCOVER-AQ,DISCOVER-AQ-D4_2014-Jul-Colorado,Permanent Land Site,39.78,-105.00
DISCOVER-AQ,DISCOVER-AQ-D4_2014-Jul-Colorado,Permanent Land Site,39.74,-105.18
DISCOVER-AQ,DISCOVER-AQ-D4_2014-Jul-Colorado,Balloon Launch Site,40.18,-104.73
DISCOVER-AQ,DISCOVER-AQ-D4_2014-Jul-Colorado,Field Site,39.75,-105.18
DISCOVER-AQ,DISCOVER-AQ-D4_2014-Jul-Colorado,Field Site,39.53,-105.07
DISCOVER-AQ,DISCOVER-AQ-D4_2014-Jul-Colorado,Field Site,40.59,-105.14
DISCOVER-AQ,DISCOVER-AQ-D4_2014-Jul-Colorado,Field Site,39.73,-105.02
DISCOVER-AQ,DISCOVER-AQ-D4_2014-Jul-Colorado,Field Site,39.75,-105.18
DISCOVER-AQ,DISCOVER-AQ-D4_2014-Jul-Colorado,Field Site,40.49,-105.14
DISCOVER-AQ,DISCOVER-AQ-D4_2014-Jul-Colorado,Field Site,40.05,-105.00
DISCOVER-AQ,DISCOVER-AQ-D4_2014-Jul-Colorado,Field Site,40.18,-104.73
DISCOVER-AQ,DISCOVER-AQ-D4_2014-Jul-Colorado,Field Site,40.13,-105.24
