campaign,deployment,platform_name,latitude,longitude
FIRE,FIRE-D1_1986,Field Site,43.96,-90.76
FIRE,FIRE-D1_1986,Balloon Launch Site,44.48,-88.1
FIRE,FIRE-D2_1987,Field Site,33.24,-119.46
FIRE,FIRE-D2_1987,Balloon Launch Site,33.24,-119.46
FIRE,FIRE-D3_1991,Field Site,37.18,-95.07
FIRE,FIRE-D3_1991,Field Site,37.33,-95.5
FIRE,FIRE-D3_1991,Field Site,37.06,-95.34
FIRE,FIRE-D3_1991,Field Site,37.1,-95.35
FIRE,FIRE-D3_1991,Balloon Launch Site,37.06,-97.16
FIRE,FIRE-D3_1991,Balloon Launch Site,38,-95.41
FIRE,FIRE-D3_1991,Balloon Launch Site,35.65,-95.35
FIRE,FIRE-D3_1991,Balloon Launch Site,37.1,-95.58
FIRE,FIRE-D3_1991,Balloon Launch Site,37.18,-95.07
FIRE,FIRE-D4_1992,Field Site,33.08,-16.35
FIRE,FIRE-D4_1992,Field Site,36.99,-25.17
FIRE,FIRE-D4_1992,Balloon Launch Site,33.08,-16.35
FIRE,FIRE-D4_1992,Balloon Launch Site,36.99,-25.17
FIRE,FIRE-D4_1992,Balloon Launch Site,32.66,-16.92
FIRE,FIRE-D4_1992,Drifting Buoy,35.98,-23.99
FIRE,FIRE-D4_1992,Drifting Buoy,34.97,-23.93
FIRE,FIRE-D4_1992,Drifting Buoy,35.29,-23.98
FIRE,FIRE-D4_1992,Drifting Buoy,34.63,-23.98
FIRE,FIRE-D4_1992,Drifting Buoy,35.66,-24.01
FIRE,FIRE-D5_1998,Field Site,75.88,-148.25
FIRE,FIRE-D5_1998,Balloon Launch Site,75.88,-148.25
