campaign,deployment,platform_name,latitude,longitude
GCPEx,GCPEx-D1_2012,Balloon Launch Site,44.13,-79.46
GCPEx,GCPEx-D1_2012,Field Site,44.1,-79.43
GCPEx,GCPEx-D1_2012,Field Site,44.14,-79.38
GCPEx,GCPEx-D1_2012,Field Site,44.13,-79.46
GCPEx,GCPEx-D1_2012,Field Site,44.41,-79.55
GCPEx,GCPEx-D1_2012,Field Site,44.1,-79.55
GCPEx,GCPEx-D1_2012,Permanent Land Site,44.91,-84.72
GCPEx,GCPEx-D1_2012,Permanent Land Site,41.96,-71.14
GCPEx,GCPEx-D1_2012,Permanent Land Site,42.95,-78.74
GCPEx,GCPEx-D1_2012,Permanent Land Site,46.04,-67.81
GCPEx,GCPEx-D1_2012,Permanent Land Site,40.92,-78
GCPEx,GCPEx-D1_2012,Permanent Land Site,43.89,-70.26
GCPEx,GCPEx-D1_2012,Permanent Land Site,43.76,-75.68
