campaign,deployment,platform_name,latitude,longitude
HIWC,HIWC-D1_2015,Balloon Launch Site,37.93,-75.48
HIWC,HIWC-D1_2015,Balloon Launch Site,28.48,-80.55
HIWC,HIWC-D1_2015,Balloon Launch Site,19.17,-96.12
HIWC,HIWC-D1_2015,Balloon Launch Site,32.37,-64.68
HIWC,HIWC-D1_2015,Balloon Launch Site,25.05,-77.47
HIWC,HIWC-D1_2015,Balloon Launch Site,19.3,-81.37
HIWC,HIWC-D1_2015,Balloon Launch Site,17.93,-76.78
HIWC,HIWC-D1_2015,Balloon Launch Site,18.05,-63.12
HIWC,HIWC-D1_2015,Balloon Launch Site,16.27,-61.52
HIWC,HIWC-D1_2015,Permanent Land Site,37.93,-75.48
HIWC,HIWC-D1_2015,Permanent Land Site,28.48,-80.55
HIWC,HIWC-D1_2015,Permanent Land Site,19.17,-96.12
HIWC,HIWC-D1_2015,Permanent Land Site,32.37,-64.68
HIWC,HIWC-D1_2015,Permanent Land Site,25.05,-77.47
HIWC,HIWC-D1_2015,Permanent Land Site,19.3,-81.37
HIWC,HIWC-D1_2015,Permanent Land Site,17.93,-76.78
HIWC,HIWC-D1_2015,Permanent Land Site,18.05,-63.12
HIWC,HIWC-D1_2015,Permanent Land Site,16.27,-61.52
HIWC,HIWC-D2_2018,Balloon Launch Site,25.75,-80.38
HIWC,HIWC-D2_2018,Balloon Launch Site,33.25,-119.45
HIWC,HIWC-D2_2018,Balloon Launch Site,32.87,-117.15
HIWC,HIWC-D2_2018,Balloon Launch Site,34.9,-117.92
HIWC,HIWC-D2_2018,Balloon Launch Site,34.1,-119.12
HIWC,HIWC-D2_2018,Balloon Launch Site,34.75,-120.57
HIWC,HIWC-D2_2018,Balloon Launch Site,28.48,-80.55
HIWC,HIWC-D2_2018,Balloon Launch Site,24.07,-110.33
HIWC,HIWC-D2_2018,Balloon Launch Site,23.18,-106.42
HIWC,HIWC-D2_2018,Balloon Launch Site,21.98,-159.35
HIWC,HIWC-D2_2018,Permanent Land Site,25.75,-80.38
HIWC,HIWC-D2_2018,Permanent Land Site,33.25,-119.45
HIWC,HIWC-D2_2018,Permanent Land Site,32.87,-117.15
HIWC,HIWC-D2_2018,Permanent Land Site,34.9,-117.92
HIWC,HIWC-D2_2018,Permanent Land Site,34.1,-119.12
HIWC,HIWC-D2_2018,Permanent Land Site,34.75,-120.57
HIWC,HIWC-D2_2018,Permanent Land Site,28.48,-80.55
HIWC,HIWC-D2_2018,Permanent Land Site,24.07,-110.33
HIWC,HIWC-D2_2018,Permanent Land Site,23.18,-106.42
HIWC,HIWC-D2_2018,Permanent Land Site,21.98,-159.35
