campaign,deployment,platform_name,latitude,longitude
ICE-POP,ICE-POP-D1_2018,Field Site,37.77,128.87
ICE-POP,ICE-POP-D1_2018,Field Site,37.74,128.81
ICE-POP,ICE-POP-D1_2018,Field Site,37.67,128.7
ICE-POP,ICE-POP-D1_2018,Field Site,37.69,128.76
ICE-POP,ICE-POP-D1_2018,Field Site,37.61,128.67
ICE-POP,ICE-POP-D1_2018,Field Site,37.68,128.72
ICE-POP,ICE-POP-D1_2018,Field Site,37.51,129.12
ICE-POP,ICE-POP-D1_2018,Field Site,37.61,128.77
ICE-POP,ICE-POP-D1_2018,Field Site,37.9,128.82
ICE-POP,ICE-POP-D1_2018,Field Site,37.65,128.57
ICE-POP,ICE-POP-D1_2018,Field Site,37.56,128.38
ICE-POP,ICE-POP-D1_2018,Field Site,37.77,128.61
ICE-POP,ICE-POP-D1_2018,Field Site,37.61,128.03
ICE-POP,ICE-POP-D1_2018,Field Site,37.38,128.4
ICE-POP,ICE-POP-D1_2018,Field Site,38.25,128.57
ICE-POP,ICE-POP-D1_2018,Field Site,37.66,128.68
ICE-POP,ICE-POP-D1_2018,Field Site,38.01,128.54
ICE-POP,ICE-POP-D1_2018,Field Site,37.64,128.68
ICE-POP,ICE-POP-D1_2018,Field Site,38.09,128.63
