campaign,deployment,platform_name,latitude,longitude
ICESCAPE,ICESCAPE-D1_2010,Permanent Water Site,66.74,-163.72
ICESCAPE,ICESCAPE-D1_2010,Permanent Water Site,68.30,-166.98
ICESCAPE,ICESCAPE-D1_2010,Permanent Water Site,72.03,-159.88
ICESCAPE,ICESCAPE-D1_2010,Permanent Water Site,72.11,-160.54
ICESCAPE,ICESCAPE-D1_2010,Permanent Water Site,72.09,-160.81
ICESCAPE,ICESCAPE-D1_2010,Permanent Water Site,72.06,-161.20
ICESCAPE,ICESCAPE-D1_2010,Permanent Water Site,71.69,-159.04
ICESCAPE,ICESCAPE-D1_2010,Permanent Water Site,72.12,-157.03
ICESCAPE,ICESCAPE-D1_2010,Permanent Water Site,71.65,-157.75
ICESCAPE,ICESCAPE-D1_2010,Permanent Water Site,71.73,-156.01
ICESCAPE,ICESCAPE-D1_2010,Permanent Water Site,72.06,-156.28
ICESCAPE,ICESCAPE-D1_2010,Permanent Water Site,71.93,-156.43
ICESCAPE,ICESCAPE-D2_2011,Permanent Water Site,72.63,-168.72
ICESCAPE,ICESCAPE-D2_2011,Permanent Water Site,73.17,-168.49
ICESCAPE,ICESCAPE-D2_2011,Permanent Water Site,73.72,-168.26
ICESCAPE,ICESCAPE-D2_2011,Permanent Water Site,72.96,-160.77
ICESCAPE,ICESCAPE-D2_2011,Permanent Water Site,73.70,-160.28
ICESCAPE,ICESCAPE-D2_2011,Permanent Water Site,73.83,-159.07
ICESCAPE,ICESCAPE-D2_2011,Permanent Water Site,72.55,-153.82
ICESCAPE,ICESCAPE-D2_2011,Permanent Water Site,72.84,-151.89
ICESCAPE,ICESCAPE-D2_2011,Permanent Water Site,73.18,-150.44
