campaign,deployment,platform_name,latitude,longitude
IFloodS,IFloodS-D1_2013,Field Site,42.27,-92.51
IFloodS,IFloodS-D1_2013,Field Site,42.24,-92.46
IFloodS,IFloodS-D1_2013,Field Site,42.18,-92.37
IFloodS,IFloodS-D1_2013,Field Site,42.13,-92.28
IFloodS,IFloodS-D1_2013,Field Site,41.99,-92.07
IFloodS,IFloodS-D1_2013,Field Site,41.86,-92.87
IFloodS,IFloodS-D1_2013,Field Site,41.64,-91.54
IFloodS,IFloodS-D1_2013,Field Site,41.86,-91.64
IFloodS,IFloodS-D1_2013,Field Site,42.84,-91.40
IFloodS,IFloodS-D1_2013,Field Site,42.98,-91.31
IFloodS,IFloodS-D1_2013,Field Site,43.19,-91.88
IFloodS,IFloodS-D1_2013,Field Site,42.72,-91.19
IFloodS,IFloodS-D1_2013,Field Site,42.89,-91.57
IFloodS,IFloodS-D1_2013,Field Site,43.27,-92.03
IFloodS,IFloodS-D1_2013,Field Site,43.33,-92.22
IFloodS,IFloodS-D1_2013,Field Site,43.05,-91.52
IFloodS,IFloodS-D1_2013,Field Site,42.84,-91.79
IFloodS,IFloodS-D1_2013,Field Site,42.40,-93.44
IFloodS,IFloodS-D1_2013,Field Site,42.64,-91.38
IFloodS,IFloodS-D1_2013,Field Site,42.89,-91.57
IFloodS,IFloodS-D1_2013,Field Site,42.98,-91.79
IFloodS,IFloodS-D1_2013,Field Site,42.81,-91.67
IFloodS,IFloodS-D1_2013,Field Site,42.92,-91.94
IFloodS,IFloodS-D1_2013,Field Site,43.04,-91.96
IFloodS,IFloodS-D1_2013,Field Site,43.12,-92.15
IFloodS,IFloodS-D1_2013,Field Site,43.37,-92.37
IFloodS,IFloodS-D1_2013,Field Site,42.78,-91.45
IFloodS,IFloodS-D1_2013,Field Site,42.31,-93.48
IFloodS,IFloodS-D1_2013,Field Site,42.64,-93.41
IFloodS,IFloodS-D1_2013,Field Site,42.45,-93.23
IFloodS,IFloodS-D1_2013,Permanent Land Site,43.82,-91.19
IFloodS,IFloodS-D1_2013,Permanent Land Site,41.73,-93.72
IFloodS,IFloodS-D1_2013,Permanent Land Site,41.61,-90.58
IFloodS,IFloodS-D1_2013,Permanent Land Site,44.85,-93.57
