campaign,deployment,platform_name,latitude,longitude
IMPACTS,IMPACTS-D1_2020,Balloon Launch Site,42.1,-76.39
IMPACTS,IMPACTS-D1_2020,Balloon Launch Site,40.12,-88.24
IMPACTS,IMPACTS-D1_2020,Balloon Launch Site,40.9,-73.13
IMPACTS,IMPACTS-D1_2020,Balloon Launch Site,35.78,-78.68
IMPACTS,IMPACTS-D1_2020,Balloon Launch Site,43.65,-72.34
IMPACTS,IMPACTS-D1_2020,Balloon Launch Site,44.26,-73.44
IMPACTS,IMPACTS-D1_2020,Balloon Launch Site,43.1,-76.19
IMPACTS,IMPACTS-D1_2020,Balloon Launch Site,43.59,-73.37
IMPACTS,IMPACTS-D1_2020,Balloon Launch Site,44.85,-93.56
IMPACTS,IMPACTS-D1_2020,Balloon Launch Site,41.61,-90.58
IMPACTS,IMPACTS-D1_2020,Balloon Launch Site,40.15,-89.33
IMPACTS,IMPACTS-D1_2020,Balloon Launch Site,44.5,-88.11
IMPACTS,IMPACTS-D1_2020,Balloon Launch Site,44.91,-84.71
IMPACTS,IMPACTS-D1_2020,Balloon Launch Site,42.7,-83.46
IMPACTS,IMPACTS-D1_2020,Balloon Launch Site,39.41,-83.81
IMPACTS,IMPACTS-D1_2020,Balloon Launch Site,32.9,-80.03
IMPACTS,IMPACTS-D1_2020,Balloon Launch Site,36.08,-79.95
IMPACTS,IMPACTS-D1_2020,Balloon Launch Site,34.78,-76.88
IMPACTS,IMPACTS-D1_2020,Balloon Launch Site,37.2,-80.41
IMPACTS,IMPACTS-D1_2020,Balloon Launch Site,37.93,-75.47
IMPACTS,IMPACTS-D1_2020,Balloon Launch Site,38.98,-77.46
IMPACTS,IMPACTS-D1_2020,Balloon Launch Site,40.53,-80.22
IMPACTS,IMPACTS-D1_2020,Balloon Launch Site,42.93,-78.73
IMPACTS,IMPACTS-D1_2020,Balloon Launch Site,40.87,-72.86
IMPACTS,IMPACTS-D1_2020,Balloon Launch Site,42.69,-73.83
