campaign,deployment,platform_name,latitude,longitude
INTEX-NA,INTEX-NA-D1_2004,Balloon Launch Site,39.04,-76.52
INTEX-NA,INTEX-NA-D1_2004,Balloon Launch Site,40.3,-105.2
INTEX-NA,INTEX-NA-D1_2004,Balloon Launch Site,44.23,-79.78
INTEX-NA,INTEX-NA-D1_2004,Balloon Launch Site,29.97,-95.33
INTEX-NA,INTEX-NA-D1_2004,Balloon Launch Site,34.73,-86.58
INTEX-NA,INTEX-NA-D1_2004,Balloon Launch Site,41.52,-71.32
INTEX-NA,INTEX-NA-D1_2004,Balloon Launch Site,45.57,-84.68
INTEX-NA,INTEX-NA-D1_2004,Balloon Launch Site,44.95,-59.92
INTEX-NA,INTEX-NA-D1_2004,Balloon Launch Site,41.05,-124.15
INTEX-NA,INTEX-NA-D1_2004,Balloon Launch Site,37.85,-75.5
INTEX-NA,INTEX-NA-D1_2004,Balloon Launch Site,44.83,-66.12
INTEX-NA,INTEX-NA-D2_2006,Balloon Launch Site,34.4,-117.7
INTEX-NA,INTEX-NA-D2_2006,Balloon Launch Site,40.3,-105.2
INTEX-NA,INTEX-NA-D2_2006,Balloon Launch Site,50.2,-104.7
INTEX-NA,INTEX-NA-D2_2006,Balloon Launch Site,53.55,-114.11
INTEX-NA,INTEX-NA-D2_2006,Balloon Launch Site,44.23,-79.78
INTEX-NA,INTEX-NA-D2_2006,Balloon Launch Site,29.97,-95.33
INTEX-NA,INTEX-NA-D2_2006,Balloon Launch Site,34.73,-86.58
INTEX-NA,INTEX-NA-D2_2006,Balloon Launch Site,49.93,-119.4
INTEX-NA,INTEX-NA-D2_2006,Balloon Launch Site,19.33,-99.18
INTEX-NA,INTEX-NA-D2_2006,Balloon Launch Site,41.52,-71.32
INTEX-NA,INTEX-NA-D2_2006,Balloon Launch Site,41.05,-124.15
INTEX-NA,INTEX-NA-D2_2006,Balloon Launch Site,37.85,-75.5
INTEX-NA,INTEX-NA-D2_2006,Balloon Launch Site,44.83,-66.12
INTEX-NA,INTEX-NA-D2_2006,Balloon Launch Site,46.2,-119.16
INTEX-NA,INTEX-NA-D2_2006,Balloon Launch Site,41.5,-87
INTEX-NA,INTEX-NA-D2_2006,Balloon Launch Site,42.64,-80.6
INTEX-NA,INTEX-NA-D2_2006,Balloon Launch Site,43.92,-73.64
INTEX-NA,INTEX-NA-D2_2006,Balloon Launch Site,34.6,-106.9
INTEX-NA,INTEX-NA-D2_2006,Balloon Launch Site,32.8,-115.4
INTEX-NA,INTEX-NA-D2_2006,Field Site,43.98,-121.69
INTEX-NA,INTEX-NA-D2_2006,Vehicle,29.6,-95.18
INTEX-NA,INTEX-NA-D2_2006,Vehicle,46.34,-119.28
