campaign,deployment,platform_name,latitude,longitude
IPHEx,IPHEx-D1_2014,Balloon Launch Site,35.62,-82.57
IPHEx,IPHEx-D1_2014,Vehicle,35.56,-82.91
IPHEx,IPHEx-D1_2014,Field Site,35.19,-81.96
IPHEx,IPHEx-D1_2014,Field Site,35.23,-82.06
IPHEx,IPHEx-D1_2014,Field Site,35.29,-82.17
IPHEx,IPHEx-D1_2014,Field Site,35.37,-82.37
IPHEx,IPHEx-D1_2014,Field Site,35.52,-83.09
IPHEx,IPHEx-D1_2014,Field Site,35.59,-83.07
IPHEx,IPHEx-D1_2014,Field Site,35.81,-82.67
IPHEx,IPHEx-D1_2014,Field Site,35.59,-83.07
IPHEx,IPHEx-D1_2014,Field Site,35.89,-82.58
IPHEx,IPHEx-D1_2014,Field Site,35.42,-82.76
IPHEx,IPHEx-D1_2014,Permanent Land Site,33.95,-81.12
IPHEx,IPHEx-D1_2014,Permanent Land Site,34.88,-82.22
IPHEx,IPHEx-D1_2014,Permanent Land Site,34.93,-86.08
IPHEx,IPHEx-D1_2014,Permanent Land Site,33.99,-78.43
IPHEx,IPHEx-D1_2014,Permanent Land Site,34.78,-76.88
IPHEx,IPHEx-D1_2014,Permanent Land Site,36.17,-83.40
IPHEx,IPHEx-D1_2014,Permanent Land Site,35.67,-78.49
