campaign,deployment,platform_name,latitude,longitude
KORUS-AQ,KORUS-AQ-D1_2016,Field Site,32.75,128.68
KORUS-AQ,KORUS-AQ-D1_2016,Field Site,37.97,124.63
KORUS-AQ,KORUS-AQ-D1_2016,Field Site,37.52,127.12
KORUS-AQ,KORUS-AQ-D1_2016,Field Site,37.31,127.31
KORUS-AQ,KORUS-AQ-D1_2016,Field Site,37.56,126.94
KORUS-AQ,KORUS-AQ-D1_2016,Permanent Land Site,36.54,126.33
KORUS-AQ,KORUS-AQ-D1_2016,Permanent Land Site,35.24,129.08
KORUS-AQ,KORUS-AQ-D1_2016,Permanent Land Site,37.56,126.93
KORUS-AQ,KORUS-AQ-D1_2016,Permanent Land Site,37.41,127.56
KORUS-AQ,KORUS-AQ-D1_2016,Permanent Land Site,37.34,127.49
KORUS-AQ,KORUS-AQ-D1_2016,Balloon Launch Site,37.52,127.12
KORUS-AQ,KORUS-AQ-D1_2016,Balloon Launch Site,37.31,127.31
