campaign,deployment,platform_name,latitude,longitude
LISTOS,LISTOS-D2_2018,Balloon Launch Site,40.96,-73.14
LISTOS,LISTOS-D2_2018,Balloon Launch Site,40.47,-74.43
LISTOS,LISTOS-D2_2018,Balloon Launch Site,41.12,-73.34
LISTOS,LISTOS-D2_2018,Field Site,41.26,-72.55
LISTOS,LISTOS-D2_2018,Field Site,40.87,-73.88
LISTOS,LISTOS-D2_2018,Field Site,40.96,-73.14
LISTOS,LISTOS-D2_2018,Field Site,40.74,-73.82
LISTOS,LISTOS-D2_2018,Field Site,41.20,-72.70
LISTOS,LISTOS-D2_2018,Field Site,40.67,-74.13
LISTOS,LISTOS-D2_2018,Field Site,40.82,-73.95
LISTOS,LISTOS-D2_2018,Field Site,41.30,-72.90
LISTOS,LISTOS-D2_2018,Field Site,40.47,-74.43
LISTOS,LISTOS-D2_2018,Field Site,41.12,-73.34
LISTOS,LISTOS-D2_2018,Vehicle,40.96,-73.14
LISTOS,LISTOS-D2_2018,Vehicle,40.95,-73.07
LISTOS,LISTOS-D2_2018,Vehicle,40.63,-73.24
