campaign,deployment,platform_name,latitude,longitude
LPVEx,LPVEx-D1_2010,Balloon Launch Site,60.28,24.88
LPVEx,LPVEx-D1_2010,Balloon Launch Site,60.2,24.96
LPVEx,LPVEx-D1_2010,Field Site,60.49,25.08
LPVEx,LPVEx-D1_2010,Field Site,60.2,25.63
LPVEx,LPVEx-D1_2010,Field Site,60.11,24.98
LPVEx,LPVEx-D1_2010,Permanent Land Site,60.28,24.88
LPVEx,LPVEx-D1_2010,Permanent Land Site,60.2,24.96
LPVEx,LPVEx-D1_2010,Permanent Land Site,60.39,25.11
LPVEx,LPVEx-D1_2010,Permanent Land Site,61.77,23.08
LPVEx,LPVEx-D1_2010,Permanent Land Site,60.13,21.65
