campaign,deployment,platform_name,latitude,longitude
NAMMA,NAMMA-D1_2006,Permanent Land Site,14.50,-17.08
NAMMA,NAMMA-D1_2006,Field Site,14.65,-17.10
NAMMA,NAMMA-D1_2006,Field Site,14.68,-17.47
NAMMA,NAMMA-D1_2006,Field Site,14.70,-17.16
NAMMA,NAMMA-D1_2006,Field Site,14.91,-17.12
NAMMA,NAMMA-D1_2006,Field Site,14.61,-17.02
NAMMA,NAMMA-D1_2006,Field Site,14.54,-17.06
NAMMA,NAMMA-D1_2006,Field Site,14.52,-16.91
NAMMA,NAMMA-D1_2006,Field Site,14.99,-17.01
NAMMA,NAMMA-D1_2006,Field Site,14.90,-16.87
NAMMA,NAMMA-D1_2006,Field Site,14.67,-16.77
NAMMA,NAMMA-D1_2006,Field Site,14.44,-16.84
NAMMA,NAMMA-D1_2006,Field Site,14.27,-16.75
NAMMA,NAMMA-D1_2006,Field Site,14.53,-16.49
NAMMA,NAMMA-D1_2006,Field Site,14.89,-16.60
NAMMA,NAMMA-D1_2006,Field Site,15.10,-16.65
NAMMA,NAMMA-D1_2006,Field Site,14.85,-16.47
NAMMA,NAMMA-D1_2006,Field Site,15.22,-16.57
NAMMA,NAMMA-D1_2006,Field Site,14.13,-16.68
NAMMA,NAMMA-D1_2006,Field Site,14.53,-16.73
NAMMA,NAMMA-D1_2006,Field Site,14.92,-23.48
NAMMA,NAMMA-D1_2006,Field Site,16.73,-22.93
NAMMA,NAMMA-D1_2006,Balloon Launch Site,14.50,-17.08
NAMMA,NAMMA-D1_2006,Balloon Launch Site,14.94,-23.48
