campaign,deployment,platform_name,latitude,longitude
OWLETS,OWLETS-D1_2017,Field Site,37.04,-76.08
OWLETS,OWLETS-D1_2017,Field Site,37.1,-76.39
OWLETS,OWLETS-D1_2017,Balloon Launch Site,37.04,-76.08
OWLETS,OWLETS-D1_2017,Balloon Launch Site,37.1,-76.39
OWLETS,OWLETS-D1_2017,Permanent Land Site,37.85,-75.51
OWLETS,OWLETS-D1_2017,Permanent Land Site,37.33,-77.21
OWLETS,OWLETS-D1_2017,Permanent Land Site,37.1,-76.39
OWLETS,OWLETS-D1_2017,Permanent Land Site,37.04,-76.08
OWLETS,OWLETS-D2_2018,Field Site,39.24,-76.36
OWLETS,OWLETS-D2_2018,Field Site,39.25,-76.71
OWLETS,OWLETS-D2_2018,Balloon Launch Site,39.06,-76.88
OWLETS,OWLETS-D2_2018,Balloon Launch Site,39.24,-76.36
OWLETS,OWLETS-D2_2018,Balloon Launch Site,39.25,-76.71
OWLETS,OWLETS-D2_2018,Permanent Land Site,38.97,-76.93
OWLETS,OWLETS-D2_2018,Permanent Land Site,39.24,-76.36
OWLETS,OWLETS-D2_2018,Permanent Land Site,39.06,-76.88
OWLETS,OWLETS-D2_2018,Permanent Land Site,39.25,-76.71
