campaign,deployment,platform_name,latitude,longitude
PEM,PEM-D1_1991-Sep,Field Site,36.17,133.11
PEM,PEM-D1_1991-Sep,Field Site,33.52,126.48
PEM,PEM-D1_1991-Sep,Field Site,22.2,114.3
PEM,PEM-D1_1991-Sep,Field Site,26.92,128.25
PEM,PEM-D1_1991-Sep,Field Site,28.22,-177.35
PEM,PEM-D1_1991-Sep,Field Site,21.33,-157.7
PEM,PEM-D1_1991-Sep,Field Site,21.87,120.87
PEM,PEM-D1_1991-Sep,Field Site,30.3,119.73
PEM,PEM-D2_1994-Feb,Field Site,36.17,133.11
PEM,PEM-D2_1994-Feb,Field Site,22.2,114.3
PEM,PEM-D2_1994-Feb,Field Site,21.9,121.86
PEM,PEM-D2_1994-Feb,Field Site,25.03,121.5
PEM,PEM-D2_1994-Feb,Field Site,23.98,121
PEM,PEM-D2_1994-Feb,Field Site,23.31,117.34
PEM,PEM-D2_1994-Feb,Field Site,22.28,120.28
PEM,PEM-D2_1994-Feb,Field Site,22.41,121.3
PEM,PEM-D2_1994-Feb,Field Site,33.52,126.48
PEM,PEM-D2_1994-Feb,Field Site,26.92,128.25
PEM,PEM-D2_1994-Feb,Field Site,30.27,119.72
PEM,PEM-D2_1994-Feb,Field Site,28.22,-177.35
PEM,PEM-D2_1994-Feb,Field Site,21.33,-157.7
PEM,PEM-D2_1994-Feb,Field Site,21.87,120.87
PEM,PEM-D2_1994-Feb,Field Site,30.3,119.73
PEM,PEM-D3_1996-Aug,Balloon Launch Site,-27.17,-109.42
PEM,PEM-D3_1996-Aug,Balloon Launch Site,-18.1,178.2
PEM,PEM-D3_1996-Aug,Balloon Launch Site,-45.05,169.68
PEM,PEM-D3_1996-Aug,Balloon Launch Site,-14.23,-170.56
PEM,PEM-D3_1996-Aug,Balloon Launch Site,-18,-149
PEM,PEM-D4_1999-Mar,Balloon Launch Site,-18.1,178.2
PEM,PEM-D4_1999-Mar,Balloon Launch Site,-45.05,169.68
PEM,PEM-D4_1999-Mar,Balloon Launch Site,-14.23,-170.56
PEM,PEM-D4_1999-Mar,Balloon Launch Site,-18,-149
