campaign,deployment,platform_name,latitude,longitude
SAFARI 2000,SAFARI 2000-D1_1999,Permanent Land Site,-7.98,-14.42
SAFARI 2000,SAFARI 2000-D1_1999,Permanent Land Site,-15.25,23.15
SAFARI 2000,SAFARI 2000-D1_1999,Permanent Land Site,-24.99,31.59
SAFARI 2000,SAFARI 2000-D1_1999,Field Site,-15.44,23.25
SAFARI 2000,SAFARI 2000-D1_1999,Field Site,-18.66,25.49
SAFARI 2000,SAFARI 2000-D1_1999,Field Site,-19.91,23.56
SAFARI 2000,SAFARI 2000-D1_1999,Field Site,-22.41,21.71
SAFARI 2000,SAFARI 2000-D1_1999,Field Site,-24.13,21.88
SAFARI 2000,SAFARI 2000-D1_1999,Balloon Launch Site,-24.97,31.59
SAFARI 2000,SAFARI 2000-D2_2000-Feb,Permanent Land Site,-7.98,-14.42
SAFARI 2000,SAFARI 2000-D2_2000-Feb,Permanent Land Site,-28.25,28.33
SAFARI 2000,SAFARI 2000-D2_2000-Feb,Permanent Land Site,-19.18,15.91
SAFARI 2000,SAFARI 2000-D2_2000-Feb,Permanent Land Site,-26.04,32.91
SAFARI 2000,SAFARI 2000-D2_2000-Feb,Permanent Land Site,-26.19,28.03
SAFARI 2000,SAFARI 2000-D2_2000-Feb,Permanent Land Site,-14.79,24.8
SAFARI 2000,SAFARI 2000-D2_2000-Feb,Permanent Land Site,-19.9,23.55
SAFARI 2000,SAFARI 2000-D2_2000-Feb,Permanent Land Site,-15.25,23.15
SAFARI 2000,SAFARI 2000-D2_2000-Feb,Permanent Land Site,-11.74,24.43
SAFARI 2000,SAFARI 2000-D2_2000-Feb,Permanent Land Site,-12.995,28.66
SAFARI 2000,SAFARI 2000-D2_2000-Feb,Permanent Land Site,-16.12,23.29
SAFARI 2000,SAFARI 2000-D2_2000-Feb,Permanent Land Site,-24.99,31.59
SAFARI 2000,SAFARI 2000-D2_2000-Feb,Permanent Land Site,-24.97,31.59
SAFARI 2000,SAFARI 2000-D2_2000-Feb,Permanent Land Site,-12.17,26.36
SAFARI 2000,SAFARI 2000-D2_2000-Feb,Permanent Land Site,-20.53,26.07
SAFARI 2000,SAFARI 2000-D2_2000-Feb,Permanent Land Site,-22.66,14.56
SAFARI 2000,SAFARI 2000-D2_2000-Feb,Permanent Land Site,-13.53,23.11
SAFARI 2000,SAFARI 2000-D2_2000-Feb,Field Site,-18.66,25.49
SAFARI 2000,SAFARI 2000-D2_2000-Feb,Field Site,-19.91,23.56
SAFARI 2000,SAFARI 2000-D2_2000-Feb,Field Site,-22.41,21.71
SAFARI 2000,SAFARI 2000-D2_2000-Feb,Field Site,-24.13,21.88
SAFARI 2000,SAFARI 2000-D2_2000-Feb,Field Site,-15.44,23.25
SAFARI 2000,SAFARI 2000-D2_2000-Feb,Field Site,-25.02,31.5
SAFARI 2000,SAFARI 2000-D3_2000-Aug,Permanent Land Site,-7.98,-14.42
SAFARI 2000,SAFARI 2000-D3_2000-Aug,Permanent Land Site,-28.25,28.33
SAFARI 2000,SAFARI 2000-D3_2000-Aug,Permanent Land Site,-19.18,15.91
SAFARI 2000,SAFARI 2000-D3_2000-Aug,Permanent Land Site,-26.04,32.91
SAFARI 2000,SAFARI 2000-D3_2000-Aug,Permanent Land Site,-26.19,28.03
SAFARI 2000,SAFARI 2000-D3_2000-Aug,Permanent Land Site,-14.79,24.8
SAFARI 2000,SAFARI 2000-D3_2000-Aug,Permanent Land Site,-19.9,23.55
SAFARI 2000,SAFARI 2000-D3_2000-Aug,Permanent Land Site,-15.25,23.15
SAFARI 2000,SAFARI 2000-D3_2000-Aug,Permanent Land Site,-11.74,24.43
SAFARI 2000,SAFARI 2000-D3_2000-Aug,Permanent Land Site,-12.995,28.66
SAFARI 2000,SAFARI 2000-D3_2000-Aug,Permanent Land Site,-16.12,23.29
SAFARI 2000,SAFARI 2000-D3_2000-Aug,Permanent Land Site,-24.99,31.59
SAFARI 2000,SAFARI 2000-D3_2000-Aug,Permanent Land Site,-24.97,31.59
SAFARI 2000,SAFARI 2000-D3_2000-Aug,Permanent Land Site,-12.17,26.36
SAFARI 2000,SAFARI 2000-D3_2000-Aug,Permanent Land Site,-20.53,26.07
SAFARI 2000,SAFARI 2000-D3_2000-Aug,Permanent Land Site,-22.66,14.56
SAFARI 2000,SAFARI 2000-D3_2000-Aug,Permanent Land Site,-13.53,23.11
SAFARI 2000,SAFARI 2000-D3_2000-Aug,Field Site,-20.57,-26.08
SAFARI 2000,SAFARI 2000-D3_2000-Aug,Field Site,-20.52,26.03
SAFARI 2000,SAFARI 2000-D3_2000-Aug,Field Site,-25.02,31.5
SAFARI 2000,SAFARI 2000-D3_2000-Aug,Field Site,-15.44,23.25
SAFARI 2000,SAFARI 2000-D3_2000-Aug,Field Site,-18.66,25.49
SAFARI 2000,SAFARI 2000-D3_2000-Aug,Field Site,-19.91,23.56
SAFARI 2000,SAFARI 2000-D3_2000-Aug,Field Site,-22.41,21.71
SAFARI 2000,SAFARI 2000-D3_2000-Aug,Field Site,-24.13,21.88
SAFARI 2000,SAFARI 2000-D3_2000-Aug,Balloon Launch Site,-15.42,28.32
SAFARI 2000,SAFARI 2000-D3_2000-Aug,Balloon Launch Site,-7.98,-14.42
