campaign,deployment,platform_name,latitude,longitude
SEAC4RS,SEAC4RS-D1_2013,Balloon Launch Site,29.55,-94.78
SEAC4RS,SEAC4RS-D1_2013,Balloon Launch Site,33.9,-94.8
SEAC4RS,SEAC4RS-D1_2013,Balloon Launch Site,34.07,-106.91
SEAC4RS,SEAC4RS-D1_2013,Balloon Launch Site,33.6,-90.3
SEAC4RS,SEAC4RS-D1_2013,Balloon Launch Site,34.73,-86.65
SEAC4RS,SEAC4RS-D1_2013,Balloon Launch Site,39.95,-105.2
SEAC4RS,SEAC4RS-D1_2013,Balloon Launch Site,30.45,-84.3
SEAC4RS,SEAC4RS-D1_2013,Permanent Land Site,38.95,-76.84
SEAC4RS,SEAC4RS-D1_2013,Permanent Land Site,38.8,-76.1
SEAC4RS,SEAC4RS-D1_2013,Permanent Land Site,38.6,-90.2
SEAC4RS,SEAC4RS-D1_2013,Permanent Land Site,31.9,-88.2
SEAC4RS,SEAC4RS-D1_2013,Permanent Land Site,39,-95.2
SEAC4RS,SEAC4RS-D1_2013,Permanent Land Site,27.76,-82.63
SEAC4RS,SEAC4RS-D1_2013,Permanent Land Site,37.13,-86.15
SEAC4RS,SEAC4RS-D1_2013,Permanent Land Site,30.37,-89.62
SEAC4RS,SEAC4RS-D1_2013,Permanent Land Site,28.46,-80.66
SEAC4RS,SEAC4RS-D1_2013,Permanent Land Site,37.93,-75.47
SEAC4RS,SEAC4RS-D1_2013,Permanent Land Site,29.72,-95.34
SEAC4RS,SEAC4RS-D1_2013,Permanent Land Site,36.97,-90.14
SEAC4RS,SEAC4RS-D1_2013,Permanent Land Site,34.73,-86.64
SEAC4RS,SEAC4RS-D1_2013,Permanent Land Site,37.23,-80.42
SEAC4RS,SEAC4RS-D1_2013,Permanent Land Site,39.25,-76.71
SEAC4RS,SEAC4RS-D1_2013,Permanent Land Site,38.89,-76.56
SEAC4RS,SEAC4RS-D1_2013,Permanent Land Site,28.87,-90.48
SEAC4RS,SEAC4RS-D1_2013,Permanent Land Site,36.21,-81.69
SEAC4RS,SEAC4RS-D1_2013,Permanent Land Site,33.78,-84.4
SEAC4RS,SEAC4RS-D1_2013,Permanent Land Site,30.45,-84.3
SEAC4RS,SEAC4RS-D1_2013,Permanent Land Site,32.95,-87.39
SEAC4RS,SEAC4RS-D1_2013,Permanent Land Site,35.88,-78.87
SEAC4RS,SEAC4RS-D1_2013,Permanent Land Site,37.1,-76.38
SEAC4RS,SEAC4RS-D1_2013,Permanent Land Site,33.4,-97.57
SEAC4RS,SEAC4RS-D1_2013,Permanent Land Site,29.69,-81.99
SEAC4RS,SEAC4RS-D1_2013,Permanent Land Site,38.89,-78.14
SEAC4RS,SEAC4RS-D1_2013,Permanent Land Site,35.41,-99.06
SEAC4RS,SEAC4RS-D1_2013,Permanent Land Site,35.96,-84.28
SEAC4RS,SEAC4RS-D1_2013,Permanent Land Site,28.13,-81.44
SEAC4RS,SEAC4RS-D1_2013,Permanent Land Site,38.89,-76.56
SEAC4RS,SEAC4RS-D1_2013,Permanent Land Site,35.69,-83.5
SEAC4RS,SEAC4RS-D1_2013,Permanent Land Site,40.16,-105.17
SEAC4RS,SEAC4RS-D1_2013,Permanent Land Site,39.1,-96.56
SEAC4RS,SEAC4RS-D1_2013,Permanent Land Site,37.38,-80.52
SEAC4RS,SEAC4RS-D1_2013,Permanent Land Site,29.9,-80.79
SEAC4RS,SEAC4RS-D1_2013,Permanent Land Site,36.61,-97.49
SEAC4RS,SEAC4RS-D1_2013,Permanent Land Site,37.02,-76.34
SEAC4RS,SEAC4RS-D1_2013,Permanent Land Site,39.28,-76.61
