campaign,deployment,platform_name,latitude,longitude
SMEX,SMEX-D1_2002,Field Site,42.66,-93.72
SMEX,SMEX-D1_2002,Field Site,42.59,-93.71
SMEX,SMEX-D1_2002,Field Site,42.50,-93.72
SMEX,SMEX-D1_2002,Field Site,42.41,-93.72
SMEX,SMEX-D1_2002,Field Site,42.34,-93.73
SMEX,SMEX-D1_2002,Field Site,42.25,-93.70
SMEX,SMEX-D1_2002,Field Site,42.17,-93.70
SMEX,SMEX-D1_2002,Field Site,42.09,-93.70
SMEX,SMEX-D1_2002,Field Site,41.97,-93.70
SMEX,SMEX-D1_2002,Field Site,41.92,-93.70
SMEX,SMEX-D1_2002,Field Site,41.85,-93.72
SMEX,SMEX-D1_2002,Field Site,41.77,-93.68
SMEX,SMEX-D1_2002,Field Site,42.66,-93.53
SMEX,SMEX-D1_2002,Field Site,42.59,-93.55
SMEX,SMEX-D1_2002,Field Site,42.51,-93.55
SMEX,SMEX-D1_2002,Field Site,42.43,-93.56
SMEX,SMEX-D1_2002,Field Site,42.36,-93.56
SMEX,SMEX-D1_2002,Field Site,42.25,-93.56
SMEX,SMEX-D1_2002,Field Site,42.16,-93.56
SMEX,SMEX-D1_2002,Field Site,42.09,-93.54
SMEX,SMEX-D1_2002,Field Site,41.99,-93.54
SMEX,SMEX-D1_2002,Field Site,41.94,-93.54
SMEX,SMEX-D1_2002,Field Site,41.85,-93.56
SMEX,SMEX-D1_2002,Field Site,41.76,-93.56
SMEX,SMEX-D1_2002,Field Site,42.66,-93.42
SMEX,SMEX-D1_2002,Field Site,42.60,-93.42
SMEX,SMEX-D1_2002,Field Site,42.51,-93.42
SMEX,SMEX-D1_2002,Field Site,42.44,-93.42
SMEX,SMEX-D1_2002,Field Site,42.34,-93.42
SMEX,SMEX-D1_2002,Field Site,42.25,-93.43
SMEX,SMEX-D1_2002,Field Site,42.18,-93.43
SMEX,SMEX-D1_2002,Field Site,42.09,-93.43
SMEX,SMEX-D1_2002,Field Site,41.99,-93.43
SMEX,SMEX-D1_2002,Field Site,41.93,-93.45
SMEX,SMEX-D1_2002,Field Site,41.83,-93.41
SMEX,SMEX-D1_2002,Field Site,41.79,-93.39
SMEX,SMEX-D1_2002,Field Site,42.59,-93.28
SMEX,SMEX-D1_2002,Field Site,42.50,-93.29
SMEX,SMEX-D1_2002,Field Site,42.44,-93.29
SMEX,SMEX-D1_2002,Field Site,42.35,-93.29
SMEX,SMEX-D1_2002,Field Site,42.26,-93.31
SMEX,SMEX-D1_2002,Field Site,42.18,-93.29
SMEX,SMEX-D1_2002,Field Site,42.09,-93.29
SMEX,SMEX-D1_2002,Field Site,42.00,-93.29
SMEX,SMEX-D1_2002,Field Site,41.95,-93.29
SMEX,SMEX-D1_2002,Field Site,41.85,-93.29
SMEX,SMEX-D1_2002,Field Site,41.78,-93.30
SMEX,SMEX-D1_2002,Permanent Land Site,42.10,-93.85
SMEX,SMEX-D1_2002,Balloon Launch Site,41.00,-93.61
SMEX,SMEX-D2_2003,Field Site,35.11,-87.00
SMEX,SMEX-D2_2003,Field Site,35.13,-86.88
SMEX,SMEX-D2_2003,Field Site,35.05,-87.00
SMEX,SMEX-D2_2003,Field Site,35.05,-86.87
SMEX,SMEX-D2_2003,Field Site,35.11,-86.76
SMEX,SMEX-D2_2003,Field Site,35.12,-86.62
SMEX,SMEX-D2_2003,Field Site,35.12,-86.48
SMEX,SMEX-D2_2003,Field Site,35.12,-86.36
SMEX,SMEX-D2_2003,Field Site,35.05,-86.76
SMEX,SMEX-D2_2003,Field Site,35.05,-86.62
SMEX,SMEX-D2_2003,Field Site,35.05,-86.50
SMEX,SMEX-D2_2003,Field Site,35.06,-86.37
SMEX,SMEX-D2_2003,Field Site,35.12,-86.25
SMEX,SMEX-D2_2003,Field Site,35.12,-86.11
SMEX,SMEX-D2_2003,Field Site,35.11,-85.97
SMEX,SMEX-D2_2003,Field Site,35.06,-86.25
SMEX,SMEX-D2_2003,Field Site,35.05,-86.12
SMEX,SMEX-D2_2003,Field Site,35.06,-86.99
SMEX,SMEX-D2_2003,Field Site,35.12,-85.85
SMEX,SMEX-D2_2003,Field Site,35.07,-85.85
SMEX,SMEX-D2_2003,Field Site,34.93,-87.05
SMEX,SMEX-D2_2003,Field Site,34.94,-86.89
SMEX,SMEX-D2_2003,Field Site,34.88,-87.02
SMEX,SMEX-D2_2003,Field Site,34.88,-86.87
SMEX,SMEX-D2_2003,Field Site,34.79,-87.02
SMEX,SMEX-D2_2003,Field Site,34.78,-86.86
