campaign,deployment,platform_name,latitude,longitude
SPURS,SPURS-D1_2012,Ecomapper,25.5,-38.5
SPURS,SPURS-D1_2012,Ecomapper,26.15,-38.33
SPURS,SPURS-D1_2012,Moored Buoy,24.58,-38
SPURS,SPURS-D1_2012,Moored Buoy,24.74,-37.95
SPURS,SPURS-D1_2012,Moored Buoy,24.51,-37.81
SPURS,SPURS-D1_2012,ARGO,24.25,-38.23
SPURS,SPURS-D1_2012,ARGO,24.27,-37.75
SPURS,SPURS-D1_2012,ARGO,24.75,-37.76
SPURS,SPURS-D1_2012,ARGO,24.75,-38.25
SPURS,SPURS-D1_2012,ARGO,25.25,-37.75
SPURS,SPURS-D1_2012,ARGO,25.25,-38.25
SPURS,SPURS-D1_2012,ARGO,24.75,-38.74
SPURS,SPURS-D1_2012,ARGO,24.72,-37.25
SPURS,SPURS-D1_2012,ARGO,24.26,-37.27
SPURS,SPURS-D1_2012,ARGO,23.76,-37.25
SPURS,SPURS-D1_2012,ARGO,23.75,-37.75
SPURS,SPURS-D1_2012,ARGO,23.75,-38.27
SPURS,SPURS-D1_2012,ARGO,25.31,-37.07
SPURS,SPURS-D1_2012,Neutrally Buoyant Float,24.6,-38
SPURS,SPURS-D1_2012,Drifting Buoy,25.23,-37.25
SPURS,SPURS-D1_2012,Drifting Buoy,24.71,-37.25
SPURS,SPURS-D1_2012,Drifting Buoy,24.25,-37.26
SPURS,SPURS-D1_2012,Drifting Buoy,23.77,-37.25
SPURS,SPURS-D1_2012,Drifting Buoy,24.78,-37.92
SPURS,SPURS-D1_2012,Drifting Buoy,24.48,-37.77
SPURS,SPURS-D1_2012,Drifting Buoy,24.55,-38.03
SPURS,SPURS-D1_2012,Drifting Buoy,25.5,-38.5
SPURS,SPURS-D1_2012,Drifting Buoy,25.14,-38.05
SPURS,SPURS-D1_2012,Drifting Buoy,24.49,-37.35
SPURS,SPURS-D2_2016,Moored Buoy,10.05,-125.03
SPURS,SPURS-D2_2016,Moored Buoy,9.05,-124.997
SPURS,SPURS-D2_2016,Moored Buoy,10.98,-124.96
SPURS,SPURS-D2_2016,Drifting Buoy,11.49,-125
SPURS,SPURS-D2_2016,Drifting Buoy,10.05,-125.01
SPURS,SPURS-D2_2016,Drifting Buoy,10.07,-125.01
SPURS,SPURS-D2_2016,Drifting Buoy,10.34,-124.09
SPURS,SPURS-D2_2016,Drifting Buoy,8.6,-125
