campaign,deployment,platform_name,latitude,longitude
STAQS,STAQS-D1_2023,Field Site,42.59,-87.82
STAQS,STAQS-D1_2023,Field Site,42.29,-72.68
STAQS,STAQS-D1_2023,Field Site,41.11,-73.33
STAQS,STAQS-D1_2023,Field Site,40.97,-73.11
STAQS,STAQS-D1_2023,Permanent Land Site,34.96,-117.88
STAQS,STAQS-D1_2023,Permanent Land Site,34.14,-118.13
STAQS,STAQS-D1_2023,Permanent Land Site,34.07,-117.15
STAQS,STAQS-D1_2023,Permanent Land Site,34.38,-117.68
STAQS,STAQS-D1_2023,Permanent Land Site,33.98,-118.03
STAQS,STAQS-D1_2023,Permanent Land Site,34.73,-86.65
STAQS,STAQS-D1_2023,Permanent Land Site,40.82,-73.95
STAQS,STAQS-D1_2023,Permanent Land Site,34.38,-117.68
STAQS,STAQS-D1_2023,Balloon Launch Site,42.5,-87.81
