campaign,deployment,platform_name,latitude,longitude
STRAT,STRAT-D1_1995-May,Permanent Land Site,34.38,-117.68
STRAT,STRAT-D1_1995-May,Permanent Land Site,19.54,-155.58
STRAT,STRAT-D2_1995-Oct,Permanent Land Site,34.38,-117.68
STRAT,STRAT-D2_1995-Oct,Permanent Land Site,19.54,-155.58
STRAT,STRAT-D2_1995-Oct,Field Site,21.31,-158.07
STRAT,STRAT-D2_1995-Oct,Field Site,37.25,-122.03
STRAT,STRAT-D3_1996-Jan,Permanent Land Site,34.38,-117.68
STRAT,STRAT-D3_1996-Jan,Permanent Land Site,19.54,-155.58
STRAT,STRAT-D3_1996-Jan,Field Site,37.42,-122.58
STRAT,STRAT-D3_1996-Jan,Field Site,21.31,-158.07
STRAT,STRAT-D4_1996-Jul,Field Site,37.42,-122.58
STRAT,STRAT-D4_1996-Jul,Field Site,21.31,-158.07
STRAT,STRAT-D6_1996-Dec,Field Site,21.31,-158.07
