campaign,deployment,platform_name,latitude,longitude
SnowEx,SnowEx-D1_2016,Field Site,39.03,-108.21
SnowEx,SnowEx-D1_2016,Field Site,39.04,-107.94
SnowEx,SnowEx-D1_2016,Field Site,39.1,-107.88
SnowEx,SnowEx-D1_2016,Field Site,39.05,-108.06
SnowEx,SnowEx-D1_2016,Field Site,39.05,-108.1
SnowEx,SnowEx-D2_2019,Field Site,39.03,-108.21
SnowEx,SnowEx-D2_2019,Field Site,39.04,-107.94
SnowEx,SnowEx-D2_2019,Field Site,39.1,-107.88
SnowEx,SnowEx-D2_2019,Field Site,39.05,-108.06
SnowEx,SnowEx-D2_2019,Field Site,39.05,-108.1
SnowEx,SnowEx-D3_2021,Field Site,39.03,-108.21
SnowEx,SnowEx-D3_2021,Field Site,39.04,-107.94
SnowEx,SnowEx-D3_2021,Field Site,39.1,-107.88
SnowEx,SnowEx-D3_2021,Field Site,39.05,-108.06
SnowEx,SnowEx-D3_2021,Field Site,39.05,-108.1
SnowEx,SnowEx_D4_2022,Field Site,70.08,-148.61
SnowEx,SnowEx_D4_2022,Field Site,68.64,-149.34
SnowEx,SnowEx_D4_2022,Field Site,64.7,-148.3
SnowEx,SnowEx_D4_2022,Field Site,64.8,-147.7
SnowEx,SnowEx_D4_2022,Field Site,65.1,-147.5
