campaign,deployment,platform_name,latitude,longitude
TOGA COARE,TOGA COARE-D1_1993,Balloon Launch Site,-3.7,128.08
TOGA COARE,TOGA COARE-D1_1993,Balloon Launch Site,-1.18,136.12
TOGA COARE,TOGA COARE-D1_1993,Balloon Launch Site,7.4,151.8
TOGA COARE,TOGA COARE-D1_1993,Balloon Launch Site,-12.42,130.88
TOGA COARE,TOGA COARE-D1_1993,Balloon Launch Site,7.12,125.65
TOGA COARE,TOGA COARE-D1_1993,Balloon Launch Site,-8.52,179.22
TOGA COARE,TOGA COARE-D1_1993,Balloon Launch Site,-12.17,136.49
TOGA COARE,TOGA COARE-D1_1993,Balloon Launch Site,13.6,144.8
TOGA COARE,TOGA COARE-D1_1993,Balloon Launch Site,22.32,114.17
TOGA COARE,TOGA COARE-D1_1993,Balloon Launch Site,-9.42,159.97
TOGA COARE,TOGA COARE-D1_1993,Balloon Launch Site,-2.77,-171.72
TOGA COARE,TOGA COARE-D1_1993,Balloon Launch Site,1.07,154.8
TOGA COARE,TOGA COARE-D1_1993,Balloon Launch Site,-2.58,150.8
TOGA COARE,TOGA COARE-D1_1993,Balloon Launch Site,7.3,134.5
TOGA COARE,TOGA COARE-D1_1993,Balloon Launch Site,5.93,116.05
TOGA COARE,TOGA COARE-D1_1993,Balloon Launch Site,1.48,110.33
TOGA COARE,TOGA COARE-D1_1993,Balloon Launch Site,-10.17,123.67
TOGA COARE,TOGA COARE-D1_1993,Balloon Launch Site,8.73,167.73
TOGA COARE,TOGA COARE-D1_1993,Balloon Launch Site,18.18,120.53
TOGA COARE,TOGA COARE-D1_1993,Balloon Launch Site,13.13,123.73
TOGA COARE,TOGA COARE-D1_1993,Balloon Launch Site,10.3,123.97
TOGA COARE,TOGA COARE-D1_1993,Balloon Launch Site,-5.22,145.8
TOGA COARE,TOGA COARE-D1_1993,Balloon Launch Site,7.1,171.4
TOGA COARE,TOGA COARE-D1_1993,Balloon Launch Site,-2.06,147.43
TOGA COARE,TOGA COARE-D1_1993,Balloon Launch Site,1.53,124.92
TOGA COARE,TOGA COARE-D1_1993,Balloon Launch Site,-0.54,166.93
TOGA COARE,TOGA COARE-D1_1993,Balloon Launch Site,-0.88,100.35
TOGA COARE,TOGA COARE-D1_1993,Balloon Launch Site,7,158.2
TOGA COARE,TOGA COARE-D1_1993,Balloon Launch Site,-10.7,165.8
TOGA COARE,TOGA COARE-D1_1993,Balloon Launch Site,1.33,103.88
TOGA COARE,TOGA COARE-D1_1993,Balloon Launch Site,1.35,172.92
TOGA COARE,TOGA COARE-D1_1993,Balloon Launch Site,-10.58,142.22
TOGA COARE,TOGA COARE-D1_1993,Balloon Launch Site,-5.07,119.55
TOGA COARE,TOGA COARE-D1_1993,Balloon Launch Site,9.5,138.1
