campaign,deployment,platform_name,latitude,longitude
TRACE,TRACE-D1_1992,Balloon Launch Site,-4.28,15.25
TRACE,TRACE-D1_1992,Balloon Launch Site,-15.3,-56
TRACE,TRACE-D1_1992,Balloon Launch Site,-19.2,15.9
TRACE,TRACE-D1_1992,Balloon Launch Site,-10.8,-48.4
TRACE,TRACE-D1_1992,Balloon Launch Site,-25.9,28.2
TRACE,TRACE-D2_2001,Balloon Launch Site,40.8,-124.16
TRACE,TRACE-D2_2001,Balloon Launch Site,19.43,-155.04
TRACE,TRACE-D2_2001,Balloon Launch Site,33.5,126.5
TRACE,TRACE-D2_2001,Balloon Launch Site,22.31,114.17
TRACE,TRACE-D2_2001,Balloon Launch Site,31.55,130.55
TRACE,TRACE-D2_2001,Balloon Launch Site,26.2,127.68
TRACE,TRACE-D2_2001,Balloon Launch Site,43.05,141.33
TRACE,TRACE-D2_2001,Balloon Launch Site,36.05,140.13
TRACE,TRACE-D2_2001,Balloon Launch Site,25,121.4
