campaign,deployment,platform_name,latitude,longitude
TRMM-KWAJEX,TRMM-KWAJEX-D1_1999,Field Site,8.72,167.73
TRMM-KWAJEX,TRMM-KWAJEX-D1_1999,Field Site,8.99,167.72
TRMM-KWAJEX,TRMM-KWAJEX-D1_1999,Field Site,9.39,167.47
TRMM-KWAJEX,TRMM-KWAJEX-D1_1999,Field Site,8.92,166.27
TRMM-KWAJEX,TRMM-KWAJEX-D1_1999,Field Site,7.45,168.57
TRMM-KWAJEX,TRMM-KWAJEX-D1_1999,Field Site,7.98,168.14
TRMM-KWAJEX,TRMM-KWAJEX-D1_1999,Balloon Launch Site,8.72,167.73
TRMM-KWAJEX,TRMM-KWAJEX-D1_1999,Balloon Launch Site,8.99,167.72
TRMM-KWAJEX,TRMM-KWAJEX-D1_1999,Balloon Launch Site,9.39,167.47
TRMM-KWAJEX,TRMM-KWAJEX-D1_1999,Balloon Launch Site,8.92,166.27
TRMM-KWAJEX,TRMM-KWAJEX-D1_1999,Balloon Launch Site,7.45,168.57
TRMM-KWAJEX,TRMM-KWAJEX-D1_1999,Balloon Launch Site,7.08,171.38
TRMM-KWAJEX,TRMM-KWAJEX-D1_1999,Balloon Launch Site,6.97,158.22
