campaign,deployment,platform_name,latitude,longitude
WINCE,WINCE-D1_1997,Balloon Launch Site,44.48,-88.13
WINCE,WINCE-D1_1997,Balloon Launch Site,40.67,-89.68
WINCE,WINCE-D1_1997,Balloon Launch Site,44.85,-93.57
WINCE,WINCE-D1_1997,Balloon Launch Site,48.57,-93.38
WINCE,WINCE-D1_1997,Balloon Launch Site,46.48,-84.37
WINCE,WINCE-D1_1997,Balloon Launch Site,43.07,-89.4
WINCE,WINCE-D1_1997,Field Site,43.07,-89.4
WINCE,WINCE-D1_1997,Field Site,43.13,-89.33
WINCE,WINCE-D1_1997,Permanent Land Site,44.48,-88.13
WINCE,WINCE-D1_1997,Permanent Land Site,44.85,-93.57
WINCE,WINCE-D1_1997,Permanent Land Site,42.96,-87.9
