campaign,deployment,platform_name,latitude,longitude
WINTEX,WINTEX-D1_1999,Balloon Launch Site,44.48,-88.13
WINTEX,WINTEX-D1_1999,Balloon Launch Site,40.67,-89.68
WINTEX,WINTEX-D1_1999,Balloon Launch Site,44.85,-93.57
WINTEX,WINTEX-D1_1999,Balloon Launch Site,48.57,-93.38
WINTEX,WINTEX-D1_1999,Balloon Launch Site,46.48,-84.37
WINTEX,WINTEX-D1_1999,Balloon Launch Site,43.07,-89.4
WINTEX,WINTEX-D1_1999,Field Site,43.07,-89.4
WINTEX,WINTEX-D1_1999,Field Site,43.13,-89.33
WINTEX,WINTEX-D1_1999,Permanent Land Site,44.48,-88.13
WINTEX,WINTEX-D1_1999,Permanent Land Site,44.85,-93.57
WINTEX,WINTEX-D1_1999,Permanent Land Site,42.96,-87.9
