campaign,deployment,platform_name,latitude,longitude
WISC-T2000,WISC-T2000-D1_2000,Balloon Launch Site,48.57,-93.4
WISC-T2000,WISC-T2000-D1_2000,Balloon Launch Site,44.5,-88.12
WISC-T2000,WISC-T2000-D1_2000,Balloon Launch Site,44.85,-93.57
WISC-T2000,WISC-T2000-D1_2000,Balloon Launch Site,43.08,-89.42
WISC-T2000,WISC-T2000-D1_2000,Balloon Launch Site,44.85,-93.56
WISC-T2000,WISC-T2000-D1_2000,Permanent Land Site,36.61,-97.49
WISC-T2000,WISC-T2000-D1_2000,Permanent Land Site,43.08,-89.42
WISC-T2000,WISC-T2000-D1_2000,Permanent Land Site,45.96,-90.42
WISC-T2000,WISC-T2000-D1_2000,Permanent Land Site,44.74,-93.13
WISC-T2000,WISC-T2000-D1_2000,Permanent Land Site,40.11,-88.37
